isosmiles,Formula,SMILES,Ref
OC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H3F15O2,OC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
FC(F)(F)C(=C=C(C(F)(F)F)C(F)(F)F)C(F)(F)F,C7F12,FC(F)(F)C(=C=C(C(F)(F)F)C(F)(F)F)C(F)(F)F,EPA_Dashboard
CC1=CC(=O)C(C(=O)CC(O)(C(F)(F)F)C(F)(F)F)C(=O)O1,C11H8F6O5,CC1=CC(=O)C(C(=O)CC(O)(C(F)(F)F)C(F)(F)F)C(=O)O1,EPA_Dashboard
FC1C(F)(F)OC1(F)F,C3HF5O,FC1C(F)(F)OC1(F)F,EPA_Dashboard
O=C(Nc1ccc([N+](=O)[O-])cc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C13H5F13N2O3,[O-][N+](=O)C1=CC=C(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,EPA_Dashboard
FC(F)(F)C1(C(F)(F)F)OC(F)(F)C(F)(F)O1,C5F10O2,FC(F)(F)C1(OC(F)(F)C(F)(F)O1)C(F)(F)F,EPA_Dashboard
FC(F)C(F)(Cl)C(F)(F)F,C3HClF6,FC(F)C(F)(Cl)C(F)(F)F,EPA_Dashboard
Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,C15H10F6O2,OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
OCCC(F)(F)C(F)(F)C(F)=C(F)F,C6H5F7O,OCCC(F)(F)C(F)(F)C(F)=C(F)F,EPA_Dashboard
COc1ccnc(CS(=O)c2nc3ccc(OC(F)(F)C(F)F)cc3[nH]2)c1,C16H13F4N3O3S,COC1=CC=NC(CS(=O)C2=NC3=C(N2)C=C(OC(F)(F)C(F)F)C=C3)=C1,EPA_Dashboard
Cc1ccc(NC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)cc1NC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,C31H14F40N2O4,CC1=C(NC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)C=C(NC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)C=C1,EPA_Dashboard
CC(C)(C)C1=NCCCN=C(C(F)(F)C(F)(F)C(F)(F)F)CC(C(C)(C)C)=NCCCN=C(C(F)(F)C(F)(F)C(F)(F)F)C1,C26H34F14N4,CC(C)(C)C1=NCCCN=C(CC(=NCCCN=C(C1)C(F)(F)C(F)(F)C(F)(F)F)C(C)(C)C)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
Cc1ccc(C=NNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,C15H9F13N2O,CC1=CC=C(C=NNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,EPA_Dashboard
O=C(O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C8HF15O2,OC(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
OCCSC(F)=C(F)C(F)(F)C(F)(F)F,C6H5F7OS,OCCSC(F)=C(F)C(F)(F)C(F)(F)F,EPA_Dashboard
OC(O)(O)C(O)(F)C(F)(F)F,C3H4F4O4,OC(O)(O)C(O)(F)C(F)(F)F,EPA_Dashboard
